Threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,8.31696,3.76231,4.52341,4.66749,21.1024,7.57572,5.43549,5.30362,3.89335,19.3403,4.13077,14.4547,107.745,65.0776,559.981,5.9235,2.36037,5.6187,3.19425,16.7851,8.88457,5.6234,8.26668,4.09982,19.9441
1,8.34982,4.07439,4.759,5.40309,23.252,9.81167,6.0698,4.2618,3.64626,22.2613,8.87985,26.2752,31.7512,57.2065,551.311,9.69033,3.67763,4.3692,3.89615,16.2938,11.1095,3.73211,6.87636,6.16216,24.3009
1,11.6011,5.17631,10.1627,6.89626,20.07,8.06421,4.49046,5.81986,3.73146,22.9322,14.1197,25.2686,12.1268,60.0015,519.693,12.3598,4.92229,6.57744,4.74189,16.5874,11.8366,6.10073,12.4794,7.34503,22.9196
1,16.1021,7.06053,8.51765,10.3014,15.7607,6.14969,3.82286,6.96305,6.70338,21.1818,21.6726,27.1406,25.4589,144.453,465.465,17.2992,3.84193,7.15589,6.8327,18.6718,16.9255,8.43282,7.83943,10.6112,20.3392
1,10.3176,10.8893,3.86433,11.5112,13.3424,8.18889,4.47144,4.95378,10.7895,14.8984,25.3613,19.7119,26.4834,289.221,452.972,14.3284,6.49017,8.62559,10.6238,17.109,12.6425,11.6379,3.82974,17.667,18.1906
1,8.38694,9.45927,3.94979,6.0379,18.0196,10.8756,3.57299,4.10653,4.94726,16.9326,9.31467,11.4394,34.0739,130.045,512.467,8.57208,5.85322,6.46216,5.72794,17.5812,11.742,10.3519,3.9115,8.13073,19.4279
1,8.76343,8.6965,6.25489,3.43022,22.7921,10.5966,6.75086,5.58103,3.17496,22.5961,3.76579,7.26087,56.6899,55.7289,575.124,5.63877,10.8557,3.60851,1.64679,16.5336,8.92372,12.3293,6.3209,2.86497,22.7923
1,21.1938,16.5944,6.55975,4.48781,19.11,15.0623,8.85205,2.75503,2.83474,17.9603,6.25443,25.2932,74.4057,39.1638,426.162,19.2524,13.1632,3.97262,2.92422,10.5654,18.4949,11.6241,6.26683,4.02536,19.0142
1,29.4815,12.7082,5.41307,4.59546,6.30197,20.1088,5.89413,3.29378,2.29122,5.54292,8.43049,24.7647,29.0084,17.0444,122.869,25.5918,19.4617,6.61136,4.34412,4.32369,28.3477,7.25265,4.90736,3.45998,6.57936
1,47.8948,16.2316,9.86372,3.47528,1.42509,33.1849,19.7686,7.88888,1.94116,2.52516,13.2474,16.5586,42.2289,23.2115,14.4582,33.9989,18.9881,7.88013,4.0129,1.75165,80.8476,18.727,6.59353,3.74306,2.32417
1,346.566,47.5396,47.5248,7.37321,4.00673,216.113,47.1112,26.1779,4.20557,3.52328,70.7103,78.8336,84.3921,60.6945,30.4809,232.939,27.7686,10.6343,6.56375,3.06547,465.462,62.0281,7.21002,7.1118,4.70909
