,Threshold,4/Pz,5/P7,6/P8,7/O1,8/O2,9/CP5,10/CP6,12/CP2,13/PO3,14/PO4,15/P3,16/P4
20,1,-0.0147460366647,-0.0142927001332,-0.0138929815508,-0.0140622064861,-0.0148092964755,-0.0139872236739,-0.0140830354885,-0.0133566898671,-0.0133098784498,-0.0137096106838,-0.0141455158586,-0.0138402882501
21,1,-0.01669100703,-0.0161794130568,-0.0157265671291,-0.0159176134805,-0.0167643119371,-0.0158421502353,-0.0159518939788,-0.0151269860109,-0.0150749689353,-0.015525725568,-0.0160222562297,-0.0156766474641
22,1,-0.015004378861,-0.0145443340036,-0.0141365209782,-0.0143071719185,-0.0150680715785,-0.0142352840816,-0.0143330733553,-0.0135927907855,-0.0135451317274,-0.0139514220583,-0.0143963617164,-0.0140855512772
23,1,-0.0151959698499,-0.0147315053098,-0.0143172722054,-0.0144907480394,-0.0152613622804,-0.0144194691873,-0.0145181369842,-0.0137682444206,-0.0137206340066,-0.0141315101631,-0.0145831724078,-0.0142675819936
24,1,-0.0153442854378,-0.0148754256074,-0.014455999586,-0.0146324719822,-0.0154105711997,-0.0145639228438,-0.0146635880713,-0.0139060164742,-0.0138582500306,-0.0142728758466,-0.0147296320445,-0.0144107010413
25,1,-0.0135078301035,-0.0130945135076,-0.0127253395159,-0.0128798758339,-0.013565629237,-0.012816089595,-0.0129030007871,-0.0122372419962,-0.0121943194006,-0.0125606434674,-0.0129614265667,-0.0126805006898
26,1,-0.0143921202522,-0.0139520726402,-0.0135593504476,-0.013723768668,-0.014455286896,-0.0136587879702,-0.0137514971866,-0.0130414193893,-0.0129961961356,-0.0133856983703,-0.0138139937032,-0.0135145589159
27,1,-0.0126130944959,-0.0122268013411,-0.0118830353429,-0.0120267073442,-0.0126684024208,-0.0119678585524,-0.01204888154,-0.0114270627679,-0.0113869031153,-0.0117291003176,-0.0121034018757,-0.0118411134582
28,1,-0.0122241465374,-0.0118498501061,-0.0115174049318,-0.0116562860055,-0.012278909318,-0.0115993476417,-0.0116784168632,-0.0110754033733,-0.0110364550907,-0.011368635212,-0.0117308469825,-0.0114770572105
29,1,-0.011847745931,-0.0114848870542,-0.0111631584801,-0.0112980087555,-0.0119019299088,-0.0112428263214,-0.0113197710532,-0.0107346480291,-0.0106973236736,-0.0110192139672,-0.0113704907821,-0.011124533794
30,1,-0.0100752132196,-0.00976665542888,-0.00949254316925,-0.00960739210103,-0.010121032036,-0.00956028796794,-0.00962544493617,-0.00912762642364,-0.00909604872727,-0.00937035219948,-0.0096687118473,-0.0094590861814
31,1,-0.010238250678,-0.0099260134603,-0.00964652538521,-0.00976354044151,-0.0102845899968,-0.00971615838905,-0.00978276527321,-0.00927650650082,-0.00924467563905,-0.00952283130163,-0.00982693154726,-0.00961359942933
32,1,-0.00860189867839,-0.00833990183061,-0.00810378103979,-0.00820271719322,-0.00863971589442,-0.00816190431339,-0.0082180573049,-0.00779220086003,-0.00776583242739,-0.00799904499448,-0.00825528808997,-0.00807555359162
33,1,-0.00791128374305,-0.00767059976448,-0.00745257482721,-0.0075437278579,-0.007945081001,-0.00750658719108,-0.00755844758857,-0.00716633730547,-0.00714196332705,-0.00735696853464,-0.00759251736287,-0.00742687774521
34,1,-0.00728008762613,-0.007059323828,-0.00685877443545,-0.00694228654917,-0.00731198192591,-0.00690945282343,-0.00695758107866,-0.0065962348986,-0.00657430727098,-0.00677193132884,-0.00698910211394,-0.00683644006959
